"state","MedianRent","AverageRentZillow"
"Alabama",925,1461
"Alaska",1345,1489
"Arizona",1308,2195
"Arkansas",868,1235
"California",1856,3000
"Colorado",1594,2250
"Connecticut",1374,1485
"Delaware",1286,1610
"District of Columbia",1817,
"Florida",1444,2575
"Georgia",1221,1999
"Hawaii",1868,2850
"Idaho",1061,2073
"Illinois",1179,1650
"Indiana",967,1395
"Iowa",914,1026
"Kansas",986,1056
"Kentucky",902,1250
"Louisiana",996,1395
"Maine",1009,1875
"Maryland",1598,1844
"Massachusetts",1588,2900
"Michigan",1037,1335
"Minnesota",1178,1537
"Mississippi",896,1410
"Missouri",957,1300
"Montana",974,1800
"Nebraska",987,1186
"Nevada",1382,2150
"New Hampshire",1336,1930
"New Jersey",1577,2200
"New Mexico",966,1595
"New York",1507,3400
"North Carolina",1093,1850
"North Dakota",912,831
"Ohio",945,1300
"Oklahoma",934,1400
"Oregon",1373,1854
"Pennsylvania",1110,1525
"Rhode Island",1195,2150
"South Carolina",1065,1775
"South Dakota",878,1025
"Tennessee",1047,1860
"Texas",1251,1886
"Utah",1302,2000
"Vermont",1149,1900
"Virginia",1440,1997
"Washington",1592,2195
"West Virginia",831,899
"Wisconsin",992,1100
"Wyoming",933,1100
"United States",1304.2205197884346,2030.343716806191